bytes;kind;n;name
;1 summary;11980;public rows total
;1 summary;180;public tables
;1 summary;120;public tables with rows
;2 auth;39;auth.identities
;2 auth;40;auth.users
224642;3 bucket;1;admission-payments private
3135744;3 bucket;3;call-audits private
;3 bucket;0;chat-attachments private
;3 bucket;0;employee-documents private
;3 bucket;0;hr-letters private
;3 bucket;0;lms-media private
;3 bucket;0;org-photos private
;4 migrations;263;latest 20260914200900
;5 table;569;activity_sessions
;5 table;0;ai_conversations
;5 table;0;ai_messages
;5 table;25;appointment_break_windows
;5 table;25;appointment_share_links
;5 table;364;appointments
;5 table;2;approval_delegations
;5 table;479;approval_history
;5 table;6;asset_assignments
;5 table;6;assets
;5 table;0;assignments
;5 table;0;attempt_answers
;5 table;0;attendance
;5 table;877;attendance_days
;5 table;24;attendance_regularizations
;5 table;0;attendance_time_adjustments
;5 table;2;call_audit_clients
;5 table;24;call_audit_findings
;5 table;3;call_audits
;5 table;0;certificates
;5 table;204;change_requests
;5 table;12;chat_messages
;5 table;24;chat_participants
;5 table;12;chat_receipts
;5 table;12;chat_threads
;5 table;88;clearance_template_items
;5 table;11;clearance_templates
;5 table;0;content_audiences
;5 table;125;content_nodes
;5 table;0;content_translations
;5 table;190;content_views
;5 table;0;coupon_bundle_items
;5 table;1;coupon_bundles
;5 table;7;coupon_conditions
;5 table;0;coupon_conditions_applied
;5 table;0;coupon_requests
;5 table;12;coupon_template_conditions
;5 table;3;coupon_templates
;5 table;6;coupon_type_design_defaults
;5 table;0;coupon_type_design_hidden
;5 table;0;coupons
;5 table;0;course_completion_consents
;5 table;1;courses
;5 table;9;custom_roles
;5 table;0;dashboard_layouts
;5 table;0;dashboard_user_prefs
;5 table;0;department_incentive_settings
;5 table;10;departments
;5 table;104;discrepancies
;5 table;3;dwr_deduction_waivers
;5 table;48;dwr_excuse_requests
;5 table;8;dwr_field_comments
;5 table;242;dwr_grace
;5 table;5;dwr_miss_acks
;5 table;8;dwr_report_history
;5 table;1128;dwr_reports
;5 table;10;dwr_settings
;5 table;77;dwr_template_fields
;5 table;6;dwr_template_roles
;5 table;11;dwr_templates
;5 table;0;dynamic_values
;5 table;723;efficiency_entries
;5 table;0;employee_clearance_items
;5 table;0;employee_clearances
;5 table;0;employee_document_exceptions
;5 table;30;employee_documents
;5 table;481;employee_holidays
;5 table;28;employee_notes
;5 table;56;employee_perf_snapshots
;5 table;3;employee_promotions
;5 table;259;employee_work_days
;5 table;22;enrollments
;5 table;141;entry_amendments
;5 table;0;entry_audit_log
;5 table;1;exit_checklists
;5 table;3;faqs
;5 table;520;follow_up_calls
;5 table;5;glossary_terms
;5 table;30;help_articles
;5 table;26;holiday_calendar_days
;5 table;2;holiday_calendars
;5 table;552;hr_audit_log
;5 table;0;hr_staging_users
;5 table;1;inbox_drafts
;5 table;0;inbox_important
;5 table;2;inbox_message_reads
;5 table;898;inbox_messages
;5 table;2;inbox_reads
;5 table;66;inbox_threads
;5 table;0;incentive_month_stops
;5 table;6;issued_letters
;5 table;2;kb_entries
;5 table;2;kb_languages
;5 table;0;leave_accumulation_ledger
;5 table;3;leave_encashment_requests
;5 table;226;leave_requests
;5 table;0;lesson_assets
;5 table;0;lesson_progress
;5 table;0;lessons
;5 table;12;letter_templates
;5 table;392;manager_tasks
;5 table;0;message_group_departments
;5 table;10;message_group_members
;5 table;0;message_group_posters
;5 table;3;message_groups
;5 table;0;message_threads
;5 table;0;messages
;5 table;1;module_acknowledgements
;5 table;0;modules
;5 table;49;node_completions
;5 table;0;ojt_activities
;5 table;0;ojt_checklist_items
;5 table;0;ojt_incentive_rules
;5 table;8;ojt_kpis
;5 table;12;ojt_pip_milestones
;5 table;3;ojt_pip_plans
;5 table;2;ojt_pip_templates
;5 table;0;ojt_plan_checklist_items
;5 table;0;ojt_plans
;5 table;63;ojt_progress
;5 table;0;ojt_signoffs
;5 table;0;ojt_targets
;5 table;3;ojt_trainings
;5 table;40;onboarding_checklists
;5 table;130;org_strength_entries
;5 table;72;org_units
;5 table;140;page_blocks
;5 table;0;pending_payouts
;5 table;0;price_announcements
;5 table;5;price_courses
;5 table;2;price_list_periods
;5 table;21;price_seasonal_offers
;5 table;45;price_slab_history
;5 table;90;price_slabs
;5 table;40;profiles
;5 table;0;programs
;5 table;4;prorate_requests
;5 table;260;ptm_activities
;5 table;4;public_holidays
;5 table;0;question_options
;5 table;1;resignations
;5 table;0;review_edit_requests
;5 table;0;review_meeting_participants
;5 table;0;review_meetings
;5 table;82;role_permissions
;5 table;12;salary_adjustments
;5 table;0;salary_audit_log
;5 table;24;salary_line_items
;5 table;28;salary_pl_balance
;5 table;3;salary_revisions
;5 table;2;salary_runs
;5 table;1;salary_settings
;5 table;1;salary_settlements
;5 table;870;sales_admissions
;5 table;0;sales_knowledge
;5 table;108;sales_target_history
;5 table;60;sales_targets
;5 table;58;sales_upgrades
;5 table;0;schedules
;5 table;35;shift_days
;5 table;5;shifts
;5 table;46;slide_templates
;5 table;1;success_point_reads
;5 table;0;success_posts
;5 table;0;success_reactions
;5 table;98;supervisor_idle_logs
;5 table;0;target_min_requests
;5 table;0;tech_meetings
;5 table;0;test_attempts
;5 table;0;test_questions
;5 table;0;tests
;5 table;0;thread_participants
;5 table;25;titles
;5 table;5;upgrade_target_history
;5 table;10;upgrade_targets
;5 table;28;user_access_flags
;5 table;31;user_activity_targets
;5 table;81;user_reporting_lines
;5 table;79;user_roles
;5 table;2;week_off_patterns
